image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
NZjers1,direction,adaptive_weighted_median,9,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/direction/9-constant-MvHDraXs.png
NZjers1,combined,adaptive_weighted_median,9,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/combined/9-constant-ZlDSpzfG.png
NZjers1,magnitude,adaptive_weighted_median,11,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/magnitude/11-constant-xDeUFnCG.png
NZjers1,direction,adaptive_weighted_median,11,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/direction/11-constant-BKTyGPhe.png
NZjers1,combined,adaptive_weighted_median,11,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/combined/11-constant-JOYGxcZP.png
NZjers1,magnitude,adaptive_weighted_median,13,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/magnitude/13-constant-muykqWLE.png
NZjers1,direction,adaptive_weighted_median,13,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/direction/13-constant-aszbASjD.png
NZjers1,combined,adaptive_weighted_median,13,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/combined/13-constant-vubEPspr.png
NZjers1,magnitude,adaptive_weighted_median,15,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/magnitude/15-constant-mpZwpllw.png
NZjers1,direction,adaptive_weighted_median,15,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/direction/15-constant-GYtLMZxo.png
NZjers1,combined,adaptive_weighted_median,15,constant,-1,./results/edge/NZjers1/adaptive_weighted_median/combined/15-constant-RbBZNLlS.png
NZjers1,magnitude,truncated_median,3,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/3-constant-xOvvZYNz.png
NZjers1,direction,truncated_median,3,constant,-1,./results/edge/NZjers1/truncated_median/direction/3-constant-thpCWdte.png
NZjers1,combined,truncated_median,3,constant,-1,./results/edge/NZjers1/truncated_median/combined/3-constant-dcvXJUaY.png
NZjers1,magnitude,truncated_median,5,constant,-1,./results/edge/NZjers1/truncated_median/magnitude/5-constant-bSCSBnqx.png
