image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
foetus,nonlinear,min,9,constant,6131688400,./results/filter/foetus/min/9-constant-tfpektUg.png
foetus,nonlinear,min,11,constant,6226278800,./results/filter/foetus/min/11-constant-DjutmLVe.png
foetus,nonlinear,min,13,constant,6138331500,./results/filter/foetus/min/13-constant-kGQurrJT.png
foetus,nonlinear,min,15,constant,6217440000,./results/filter/foetus/min/15-constant-pYcYRhyQ.png
foetus,nonlinear,midpoint,3,constant,12676315200,./results/filter/foetus/midpoint/3-constant-sufnEcVt.png
foetus,nonlinear,midpoint,5,constant,12652070000,./results/filter/foetus/midpoint/5-constant-rCiqrcfD.png
foetus,nonlinear,midpoint,7,constant,13591042000,./results/filter/foetus/midpoint/7-constant-tcKaQyXa.png
foetus,nonlinear,midpoint,9,constant,12679640900,./results/filter/foetus/midpoint/9-constant-RaHSkmYW.png
foetus,nonlinear,midpoint,11,constant,12666423600,./results/filter/foetus/midpoint/11-constant-GcihFxlW.png
foetus,nonlinear,midpoint,13,constant,12756963500,./results/filter/foetus/midpoint/13-constant-mdVlxoMG.png
foetus,nonlinear,midpoint,15,constant,12780616900,./results/filter/foetus/midpoint/15-constant-XJMdEqxC.png
foetus,nonlinear,alpha_trimmed_mean,3,constant,13281936100,./results/filter/foetus/alpha_trimmed_mean/3-constant-npxyiNFn.png
foetus,nonlinear,alpha_trimmed_mean,5,constant,13184242500,./results/filter/foetus/alpha_trimmed_mean/5-constant-DcXDxdba.png
foetus,nonlinear,alpha_trimmed_mean,7,constant,13253718300,./results/filter/foetus/alpha_trimmed_mean/7-constant-NPkGbvTW.png
foetus,nonlinear,alpha_trimmed_mean,9,constant,13302723800,./results/filter/foetus/alpha_trimmed_mean/9-constant-gRGzKZRs.png
foetus,nonlinear,alpha_trimmed_mean,11,constant,13674753100,./results/filter/foetus/alpha_trimmed_mean/11-constant-dIfTlicV.png
foetus,nonlinear,alpha_trimmed_mean,13,constant,13930490200,./results/filter/foetus/alpha_trimmed_mean/13-constant-ZYdJikTv.png
foetus,nonlinear,alpha_trimmed_mean,15,constant,14395549300,./results/filter/foetus/alpha_trimmed_mean/15-constant-FHvRoqNR.png
